,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
68,Minas Gerais,Brazil,2021-06-11,7151006,,,2021/06/11,7613.0
69,Para,Brazil,2021-06-11,2001067,,,2021/06/11,7614.0
70,Paraiba,Brazil,2021-06-11,1421306,,,2021/06/11,7615.0
71,Parana,Brazil,2021-06-11,4324257,,,2021/06/11,7616.0
72,Pernambuco,Brazil,2021-06-11,2861164,,,2021/06/11,7617.0
73,Piaui,Brazil,2021-06-11,1018729,,,2021/06/11,7618.0
74,Rio Grande do Norte,Brazil,2021-06-11,1197987,,,2021/06/11,7620.0
75,Rio Grande do Sul,Brazil,2021-06-11,5239987,,,2021/06/11,7621.0
76,Rio de Janeiro,Brazil,2021-06-11,6289842,,,2021/06/11,7619.0
77,Rondonia,Brazil,2021-06-11,467964,,,2021/06/11,7622.0
78,Roraima,Brazil,2021-06-11,158089,,,2021/06/11,7623.0
79,Santa Catarina,Brazil,2021-06-11,2426420,,,2021/06/11,7624.0
80,Sao Paulo,Brazil,2021-06-11,16689292,,,2021/06/11,7625.0
81,Sergipe,Brazil,2021-06-11,627920,,,2021/06/11,7626.0
82,Tocantins,Brazil,2021-06-11,438735,,,2021/06/11,7627.0
83,,Brunei,2021-06-11,58450,47040.0,11410.0,2021/06/11,96.0
84,,Bulgaria,2021-06-11,1548304,867873.0,680431.0,2021/06/11,100.0
85,,Burma,2021-06-11,2994900,1772177.0,1222723.0,2021/06/11,104.0
86,,Cambodia,2021-06-11,5128310,2794894.0,2333416.0,2021/06/11,116.0
87,,Cameroon,2021-06-11,86451,70257.0,16194.0,2021/06/11,120.0
88,,Canada,2021-06-11,27943308,24010935.0,3718629.0,2021/06/11,124.0
89,Alberta,Canada,2021-06-11,3215144,,,2021/06/11,12401.0
90,British Columbia,Canada,2021-06-11,3823103,,,2021/06/11,12402.0
91,Manitoba,Canada,2021-06-11,989281,,,2021/06/11,12403.0
92,New Brunswick,Canada,2021-06-11,574390,,,2021/06/11,12404.0
93,Newfoundland and Labrador,Canada,2021-06-11,351144,,,2021/06/11,12405.0
94,Northwest Territories,Canada,2021-06-11,55078,,,2021/06/11,12406.0
95,Nova Scotia,Canada,2021-06-11,663840,,,2021/06/11,12407.0
96,Nunavut,Canada,2021-06-11,33592,,,2021/06/11,12416.0
97,Ontario,Canada,2021-06-11,10827420,,,2021/06/11,12408.0
98,Prince Edward Island,Canada,2021-06-11,111616,,,2021/06/11,12409.0
99,Quebec,Canada,2021-06-11,6398048,,,2021/06/11,12410.0
100,Saskatchewan,Canada,2021-06-11,845439,,,2021/06/11,12411.0
101,Yukon,Canada,2021-06-11,55213,,,2021/06/11,12412.0
102,,Chile,2021-06-11,20020810,11416884.0,8786431.0,2021/06/11,152.0
103,,China,2021-06-11,845299000,0.0,0.0,2021/06/11,156.0
104,Hong Kong,China,2021-06-11,2837427,,,2021/06/11,344.0
105,Macau,China,2021-06-11,230336,,,2021/06/11,446.0
106,,Colombia,2021-06-11,12462479,8612065.0,3594039.0,2021/06/11,170.0
107,Amazonas,Colombia,2021-06-11,61214,,,2021/06/11,17001.0
108,Antioquia,Colombia,2021-06-11,1882014,,,2021/06/11,17002.0
109,Arauca,Colombia,2021-06-11,47412,,,2021/06/11,17003.0
110,Atlantico,Colombia,2021-06-11,669135,,,2021/06/11,17004.0
111,Bolivar,Colombia,2021-06-11,511589,,,2021/06/11,17005.0
112,Boyaca,Colombia,2021-06-11,382688,,,2021/06/11,17006.0
113,Caldas,Colombia,2021-06-11,292412,,,2021/06/11,17007.0
114,Capital District,Colombia,2021-06-11,2433644,,,2021/06/11,17008.0
115,Caqueta,Colombia,2021-06-11,68375,,,2021/06/11,17009.0
116,Casanare,Colombia,2021-06-11,82849,,,2021/06/11,17010.0
117,Cauca,Colombia,2021-06-11,199864,,,2021/06/11,17011.0
118,Cesar,Colombia,2021-06-11,210200,,,2021/06/11,17012.0
119,Choco,Colombia,2021-06-11,51109,,,2021/06/11,17013.0
120,Cordoba,Colombia,2021-06-11,328156,,,2021/06/11,17014.0
121,Cundinamarca,Colombia,2021-06-11,741253,,,2021/06/11,17015.0
122,Guainia,Colombia,2021-06-11,20079,,,2021/06/11,17016.0
123,Guaviare,Colombia,2021-06-11,12112,,,2021/06/11,17017.0
124,Huila,Colombia,2021-06-11,238486,,,2021/06/11,17018.0
125,La Guajira,Colombia,2021-06-11,117773,,,2021/06/11,17019.0
126,Magdalena,Colombia,2021-06-11,260427,,,2021/06/11,17020.0
127,Meta,Colombia,2021-06-11,203787,,,2021/06/11,17021.0
128,Narino,Colombia,2021-06-11,339891,,,2021/06/11,17022.0
129,Norte de Santander,Colombia,2021-06-11,341553,,,2021/06/11,17023.0
130,Putumayo,Colombia,2021-06-11,43101,,,2021/06/11,17024.0
131,Quindio,Colombia,2021-06-11,185918,,,2021/06/11,17025.0
132,Risaralda,Colombia,2021-06-11,298961,,,2021/06/11,17026.0
133,San Andres y Providencia,Colombia,2021-06-11,19982,,,2021/06/11,17027.0
134,Santander,Colombia,2021-06-11,646027,,,2021/06/11,17028.0
135,Sucre,Colombia,2021-06-11,198012,,,2021/06/11,17029.0
136,Tolima,Colombia,2021-06-11,375292,,,2021/06/11,17030.0
137,Unassigned,Colombia,2021-06-11,0,,,2021/06/11,17034.0
138,Valle del Cauca,Colombia,2021-06-11,1176407,,,2021/06/11,17031.0
139,Vaupes,Colombia,2021-06-11,15304,,,2021/06/11,17032.0
140,Vichada,Colombia,2021-06-11,7453,,,2021/06/11,17033.0
141,,Costa Rica,2021-06-11,1906177,1219551.0,686626.0,2021/06/11,188.0
142,,Cote d'Ivoire,2021-06-11,662848,662848.0,0.0,2021/06/11,384.0
143,,Croatia,2021-06-11,2042889,1386564.0,656325.0,2021/06/11,191.0
144,,Cyprus,2021-06-11,681219,415577.0,265642.0,2021/06/11,196.0
145,,Czechia,2021-06-11,6303694,4398544.0,1968315.0,2021/06/11,203.0
146,,Denmark,2021-06-11,3990473,2550918.0,1439555.0,2021/06/11,208.0
147,Faroe Islands,Denmark,2021-06-11,38242,,,2021/06/11,234.0
148,Greenland,Denmark,2021-06-11,28531,,,2021/06/11,304.0
149,,Dominica,2021-06-11,37400,19970.0,17430.0,2021/06/11,212.0
150,,Dominican Republic,2021-06-11,5900600,4212646.0,1687954.0,2021/06/11,214.0
151,,Ecuador,2021-06-11,2717072,1825096.0,891976.0,2021/06/11,218.0
152,,Egypt,2021-06-11,3340216,2820175.0,520041.0,2021/06/11,818.0
153,,El Salvador,2021-06-11,2231365,1300747.0,930618.0,2021/06/11,222.0
154,,Equatorial Guinea,2021-06-11,236189,148579.0,87610.0,2021/06/11,226.0
155,,Estonia,2021-06-11,806585,516564.0,290021.0,2021/06/11,233.0
156,,Eswatini,2021-06-11,35227,35227.0,0.0,2021/06/11,748.0
157,,Ethiopia,2021-06-11,1920676,1894717.0,0.0,2021/06/11,231.0
158,,Fiji,2021-06-11,223429,218830.0,4599.0,2021/06/11,242.0
159,,Finland,2021-06-11,3382623,2721652.0,660971.0,2021/06/11,246.0
160,,France,2021-06-11,42544969,29482018.0,13469793.0,2021/06/11,250.0
161,,Gabon,2021-06-11,33591,19755.0,9973.0,2021/06/11,266.0
